,L1,L2,L3,L4,L5,L6
V1,1,1,1,1,1,1
V2,1,1,1,1,1,1
V3,1,1,1,1,1,1
V4,1,1,1,1,1,1
V5,1,1,1,1,1,1
V6,1,1,1,1,1,1
|V1|,1,1,1,1,1,1
|V2|,1,1,1,1,1,1
|V3|,1,1,1,1,1,1
|V4|,1,1,1,1,1,1
|V5|,1,1,1,1,1,1
|V6|,1,1,1,1,1,1
V1^2,1,1,1,1,1,1
V2^2,1,1,1,1,1,1
V3^2,1,1,1,1,1,1
V4^2,1,1,1,1,1,1
V5^2,1,1,1,1,1,1
V6^2,1,1,1,1,1,1
V1*|V1|,1,1,1,1,1,1
V2*|V2|,1,1,1,1,1,1
V3*|V3|,1,1,1,1,1,1
V4*|V4|,1,1,1,1,1,1
V5*|V5|,1,1,1,1,1,1
V6*|V6|,1,1,1,1,1,1
V1*V2,1,1,1,1,1,1
V1*V3,1,1,1,1,1,1
V1*V4,1,1,1,1,1,1
V1*V5,1,1,1,1,1,1
V1*V6,1,1,1,1,1,1
V2*V3,1,1,1,1,1,1
V2*V4,1,1,1,1,1,1
V2*V5,1,1,1,1,1,1
V2*V6,1,1,1,1,1,1
V3*V4,1,1,1,1,1,1
V3*V5,1,1,1,1,1,1
V3*V6,1,1,1,1,1,1
V4*V5,1,1,1,1,1,1
V4*V6,1,1,1,1,1,1
V5*V6,1,1,1,1,1,1
|V1*V2|,1,1,1,1,1,1
|V1*V3|,1,1,1,1,1,1
|V1*V4|,1,1,1,1,1,1
|V1*V5|,1,1,1,1,1,1
|V1*V6|,1,1,1,1,1,1
|V2*V3|,1,1,1,1,1,1
|V2*V4|,1,1,1,1,1,1
|V2*V5|,1,1,1,1,1,1
|V2*V6|,1,1,1,1,1,1
|V3*V4|,1,1,1,1,1,1
|V3*V5|,1,1,1,1,1,1
|V3*V6|,1,1,1,1,1,1
|V4*V5|,1,1,1,1,1,1
|V4*V6|,1,1,1,1,1,1
|V5*V6|,1,1,1,1,1,1
V1*|V2|,1,1,1,1,1,1
V1*|V3|,1,1,1,1,1,1
V1*|V4|,1,1,1,1,1,1
V1*|V5|,1,1,1,1,1,1
V1*|V6|,1,1,1,1,1,1
V2*|V3|,1,1,1,1,1,1
V2*|V4|,1,1,1,1,1,1
V2*|V5|,1,1,1,1,1,1
V2*|V6|,1,1,1,1,1,1
V3*|V4|,1,1,1,1,1,1
V3*|V5|,1,1,1,1,1,1
V3*|V6|,1,1,1,1,1,1
V4*|V5|,1,1,1,1,1,1
V4*|V6|,1,1,1,1,1,1
V5*|V6|,1,1,1,1,1,1
|V1|*V2,1,1,1,1,1,1
|V1|*V3,1,1,1,1,1,1
|V1|*V4,1,1,1,1,1,1
|V1|*V5,1,1,1,1,1,1
|V1|*V6,1,1,1,1,1,1
|V2|*V3,1,1,1,1,1,1
|V2|*V4,1,1,1,1,1,1
|V2|*V5,1,1,1,1,1,1
|V2|*V6,1,1,1,1,1,1
|V3|*V4,1,1,1,1,1,1
|V3|*V5,1,1,1,1,1,1
|V3|*V6,1,1,1,1,1,1
|V4|*V5,1,1,1,1,1,1
|V4|*V6,1,1,1,1,1,1
|V5|*V6,1,1,1,1,1,1
V1^3,1,1,1,1,1,1
V2^3,1,1,1,1,1,1
V3^3,1,1,1,1,1,1
V4^3,1,1,1,1,1,1
V5^3,1,1,1,1,1,1
V6^3,1,1,1,1,1,1
|V1^3|,1,1,1,1,1,1
|V2^3|,1,1,1,1,1,1
|V3^3|,1,1,1,1,1,1
|V4^3|,1,1,1,1,1,1
|V5^3|,1,1,1,1,1,1
|V6^3|,1,1,1,1,1,1
